	MAIN_TAREADOR	function[main.cpp.11]	wait	function[main.cpp.14]	
THREAD 1.1.1	460000.00	0.00	0.00	0.00	
THREAD 1.1.2	0.00	23000.00	0.00	0.00	
THREAD 1.1.3	0.00	23000.00	0.00	0.00	
THREAD 1.1.4	0.00	23000.00	0.00	0.00	
THREAD 1.1.5	0.00	23000.00	0.00	0.00	
THREAD 1.1.6	0.00	23000.00	0.00	0.00	
THREAD 1.1.7	0.00	23000.00	0.00	0.00	
THREAD 1.1.8	0.00	23000.00	0.00	0.00	
THREAD 1.1.9	0.00	23000.00	0.00	0.00	
THREAD 1.1.10	0.00	23000.00	0.00	0.00	
THREAD 1.1.11	0.00	23000.00	0.00	0.00	
THREAD 1.1.12	0.00	0.00	0.00	0.00	
THREAD 1.1.13	0.00	0.00	0.00	23000.00	
THREAD 1.1.14	0.00	0.00	0.00	23000.00	
THREAD 1.1.15	0.00	0.00	0.00	23000.00	
THREAD 1.1.16	0.00	0.00	0.00	23000.00	
THREAD 1.1.17	0.00	0.00	0.00	23000.00	
THREAD 1.1.18	0.00	0.00	0.00	23000.00	
THREAD 1.1.19	0.00	0.00	0.00	23000.00	
THREAD 1.1.20	0.00	0.00	0.00	23000.00	
THREAD 1.1.21	0.00	0.00	0.00	23000.00	
THREAD 1.1.22	0.00	0.00	0.00	23000.00	
THREAD 1.1.23	0.00	0.00	0.00	0.00	

Total	460000.00	230000.00	0.00	230000.00	
Average	460000.00	23000.00	0.00	23000.00	
Maximum	460000.00	23000.00	0.00	23000.00	
Minimum	460000.00	23000.00	0.00	23000.00	
Stdev	0.00	0.00	0.00	0.00	
Avg/Max	1.00	1.00	-nan	1.00	

